"Target","Match","SHA256"
"00_来源说明\资料指引.docx","True","A3A8D4564A19F5B4F1A296CC9E52418402C544A24C8177ED50F4AE63070B93E5"
"01_赛题参考例程\01_MIPI采集与HDMI显示\lab_hd_1_mipi_hdmi.zip","True","52DD45B82423A56092248AFC5D675A879E3BD4BC5B90C64DF3F7EDFF55C11DF7"
"01_赛题参考例程\02_边缘检测\lab_hd_2_edge.zip.zip","True","4D47F87E180BA1F480D4F6F254EB9E9D5570B89A1653842450BE157CEA974E59"
"01_赛题参考例程\03_OSD叠加\lab_hd_3_osd.zip","True","7D3B8C701C583DE293E0A297ACB7C5FBF541D3E0B419D0C45C1129F9A45E82DD"
"01_赛题参考例程\参考文档\lab_ex_1_MIPI采集与HDMI显示.docx","True","7BA48B12187E3358B3CDDE787895C56FCC9F687138B5750B4C2932CEA6D7B5B5"
"01_赛题参考例程\参考文档\lab_ex_2_边缘检测.docx","True","77A5C3D8F9BD26B6ACEE727C165B641A0B8FE2AD819479807C02C1CDCEFA7017"
"01_赛题参考例程\参考文档\lab_ex_3_OSD叠加.docx","True","41C08AE40CBDBA1255763AB163988E4581718863A4EB054A8B218BF3BBF9B1BE"
"02_开发板与引脚\新HX1P35A开发板手册-HDL版2604.pdf","True","7B7A65B0212DB35CB89A5DFF6E80AE6CEDF4EF697C0E61E20829C0DC801468D4"
"02_开发板与引脚\HX1P35B_FPGA开发板引脚分配_AI易读版.md","True","C9F3D23867E38C8B8A80C874AC0E035FF42005D924E785FFA804A7A9D3E9DE05"
"02_开发板与引脚\HX1P35B开发板引脚分配汇总.docx","True","487F4ADEAA726AC9D676E4348C88A1446A4BEFDB40D29184FED3CC5C479D9CFB"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_1.pdf","True","F2E94B9C419C21EDA7FBCF5B2C470B8744E6AF6C33ADC370BF0A2FF00CEE0618"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_10.pdf","True","733FD56E68CFF04D62DAA3C96E7CBFE80D24498A81E20406354CBF4E36A875FA"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_2.pdf","True","539284DBF41F47E293FB2232A72DBBAD7008DEE438B62ED316D6BC9F4932A2E7"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_3.pdf","True","7E122628FEADE09FFC39D76ECA112FA3504A14AADD02E07BA62A227595F4171D"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_4.pdf","True","8FF685D5254CD470BC2C8437E777BA5AC94681093FBC65B4FEDF4C94598CE3ED"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_5.pdf","True","21C5CA5581B83D481A43B9FD94EF4C1C814A5B1C1A60F6BF9737ACBA95637122"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_6.pdf","True","36FCB60D96A1C2D93AE5744254BE10356D280708AC1D0201D761DCFFB6D7D610"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_7.pdf","True","0ABD6CB77D9597F5FEA904D2D3616F42267A6D3D10A725B9F42C8B47F4C0E900"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_8.pdf","True","403E6DC2BF4952C060F3F5B5E0CCC9533E840E2C096C7C9563BC1A4A654C935C"
"02_开发板与引脚\开发板原理图\HX1P35B_FT_40P_9.pdf","True","139882BD3050D459B23D7226376E809CAFB82F11D25306A15192EABFE0AA77F4"
"03_PH1P35芯片与MIPI\DS1300_PH1P_Datasheet.pdf","True","5EE95577C6F943AE7CCB1FAF8D3412D7E2F5DD8535FB2DA279ED3676681111CD"
"03_PH1P35芯片与MIPI\DS1301_PH1P_FamilyOverview.pdf","True","F41D134FEFD55444F01156B7A0AFE9561B862109177A2EE882761761B38B8258"
"03_PH1P35芯片与MIPI\UG1316_安路科技PH1P系列FPGA MIPI用户手册.pdf","True","019579090E4ABD200B1FC11AF38C4ACDB75D78CBB05AE2849EB6D71699E9F44F"
"03_PH1P35芯片与MIPI\参考IP设计资料文档.zip","True","D9980240201E726FEA56B3CBAB003A3E402E6621CF1826B243B2CA485E767FD8"
"03_PH1P35芯片与MIPI\安路选型手册_202503.pdf","True","5C1B8D575F8FB3DB21ACA5F1572A2F81E0C511F89FBCA8CDDAB205C7F2BA75FC"
"04_接口与开发流程\安路软件使用完整流程.pdf","True","1D352D483CC0DD6C4B5D79423D1C7F70305C504BDFEB9A962702EE20D6F2CE22"
"04_接口与开发流程\FAE培训_硬件接口相关(1).pdf","True","CEEACA55301831875123961DA4EDDFD6BA37BE92D967193727CBA606865CB5AE"
"04_接口与开发流程\FPGA 设计与开发的工程设计流程.pptx","True","1A8EB7AE32892C1C78F381B3BEA67FB6F8390D750A24C64DED3498D9E6B7AB18"
